aus Erfahrung|from experience, empirically
Paulinchens Katzen drohen mit den Pfoten- aus Struwwelpeter|Little Pauline's cats raise their paws (to warn her of the danger)
jdm mit dem Finger drohen|to wag one's finger at sb.
Ihm drohen 10 Jahre Haft.|He's threatened with 10 years in prison. (He's facing . . .)
Der Maler hat seinen eigenen Stil entwickelt.|The painter developed his own style.
aus der Puppe hat sich ein Schmetterling entwickelt|a butterfly developed from a pupa
Ich habe ihn an der Stimme erkannt.|I recognized him by his voice.
Wir müssen unser Angebot erhöhen.|We must increase our offer / bid.
Sie haben den Preis erhöht.|They raised the price.
Sie fühlte die Kälte.|She felt the cold.
Er fühlt sich gut.|He feels good.
Hier wird ein Café eröffnet.|There's a café opening up here.
Hilfe leisten|to provide help
Sie hat in ihrem Leben viel geleistet.|She achieved a great deal in her life.
Kannst du dir ein neues Auto leisten?|Can you afford a new car?
Ruf die Polizei!|Call the police!
Das reicht!|That's enough!
Reichst du mir das Salz?|Can you pass me the salt?
Ich kann es mir gar nicht vorstellen.|I cannot imagine it at all.
jdm den Weg weisen|to show sb the way
geringe Preise|low prices
nicht das Geringste|not the slightest thing
Ich lese gern.|I like reading, I like to read
halb fertig|half(way) done
halb leer|half empty
Gern!|I'd love to!
ein hart gekochtes Ei|a hard-cooked egg
hart arbeiten|to labor, work hard
Das Leben ist hart.|Life is tough.
dies und jenes|this and that
dies, das und jenes|this, that and the other
sowohl Männer als auch Frauen|both men and women
in jener Nacht|that night
Austrian (adjective) | österreichisch
Russian (adjective) | russisch
British (adjective) | britisch, englisch
die Aktion, -en|action, campaign, initiative, sale
der Arzt, die Ärzte|physician (male)
die Ärztin, die Ärztinnen|physician (female)
das Bad, die Bäder|bath, spa, bathroom
die Bahn, -en|railroad, train, track, lane, orbit
der Berliner, -|Berliner (m), doughnut
die Berlinerin, -nen|Berliner (f)
die Bevölkerung, -en|population
der Bund, die Bünde|association, alliance, federation, union
die Erfahrung, -en|experience, know-how, empirical knowledge
das Fahrzeug, -e|vehicle
das Gebäude, -|building
das Gebiet, -e|area, region, domain
der Geburtstag, -e|birthday
der Gegner, -|opponent (m), adversary, enemy
die Gegnerin, -nen|opponent (f), adversary, enemy
das Gericht, die Gerichte|dish, court, tribunal
das Geschäft, -e|shop, store, business, firm, deal
das Gesetz, -e|law, statute
die Grenze, -n|border, boundary, limit
die Hälfte, -n|half
der Hinweis, -e|hiner, clue, pointer
der Junge, -n / -n|boy
der Klub, -s|club
der Kontakt, -e|contact
die Kultur, -en|culture, civilization, crop
der Künstler, -|artist (m)
die Künstlerin, -nen|artist (f)
die Liste, -n|list
die Lösung, -en|solution
die Meinung, -en|opinion
die Partie, -n|game, match (marriage), part (opera role), section
der Plan, die Pläne|plan
die Reihe, -n|row, series
die Runde, -n|lap, round, circuit
der Schritt, -e|step, pace
der Sommer, -|summer
die Sprache, -n|language, speech
der Teilnehmer, -|participant
der Text, -e|text
das Theater, -|theater (not a movie theater = Kino)
das Tier, -e|animal, beast
die Unterstützung, -en|support
der Verlag, -e|publisher
der Vertrag, die Verträge|contract, treaty
der Vertreter, -|proxy (m), representative, agent
die Vertreterin, -nen|proxy (f), representative, agent
der Vorstand, die Vorstände|(executive) board, chairman, directorate
die Wohnung, -en|apartment, dwelling
anbieten, bot an, angeboten|to provide, offer
aufnehmen (nimmt auf), nahm auf, aufgenommen|to record, include
bedeuten, bedeutet, bedeutet|to mean, signify
betonen, betonte, betont|to emphasize, stree
betragen (beträgt), betrug, betragen|to amount to
sich betragen (beträgt), betrug sich, sich betragen|to behave
bitten, bat, gebeten|to request, ask
drohen, drohte, gedroht|to threaten, to be in danger of
entwickeln, entwickelte, entwickelt|to develop
erhöhen, erhöhte, erhöht|to raise, increase, heighten
erkennen, erkannte, erkannt|to realize, recognize, perceive
eröffnen, eröffnete, eröffnet|to open
(sich) fühlen, fühlte, gefühlt|to feel
gründen, gründete, gegründet|to establish, found
leisten, leistete, geleistet|to achieve, perform, render
sich (Dat) leisten, leistete, geleistet|to afford
reichen, reichte, gereicht|to reach, to be enough
rufen, rief, gerufen|to call, shout
verbinden, verband, verbunden|to connect, to bind
vertreten (vertritt), vertrat, vertreten|to represent sb or sth
verwenden, verwendete, verwendet|to use, apply, employ
vorstellen, stellte vor, vorgestellt|to introduce, suggest
sich (Dat) vorstellen, stellte sich vor, sich vorgestellt|to imagine
weisen, wies, gewiesen|to indicate, point out
werfen (wirft), warf, geworfen|to throw
zahlen, zahlte, gezahlt|to pay
aktiv|active(ly)
allgemein|general(ly)
beispielsweise|for example
britisch|British
dadurch|through it, as a result
englisch|English
finanziell|financial
gering|slight, low, small
gern, gerne|glady, willingly
halb|half
hart|tough, severe, hard
häufig|frequent(ly)
innerhalb|within
jener, jene, jenes, usw.|that
meist|most
mindestens|at least
modern|modern
nämlich|namely, that is to say
niemand|no one, nobody
österreichisch|Austrian
paar|few, some, a couple of
russisch|Russian
schwarz|black
sofort|immediately
sonst|else, otherwise
sowohl + als auch|both + and
technisch|technical
tief|deep
trotzdem|still, yet, nevertheless
unterschiedlich|different, diverse, various
elf, zwölf, dreizehn, vierzehn, fünfzehn, sechzehn, siebzehn, achtzehn, neunzehn, zwanzig|11-20
